GT_Título,LLM_Título,Nível_GT,Nível_LLM,Similaridade,Caminho_GT,Caminho_LLM,Tamanho_GT,Tamanho_LLM
Transformer with Convolution,5.1 Image Classification,Nível 4,Nível 3,0.91,root > Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,425,574
Transformer with Convolution,5.1 Image Classification,Nível 3,Nível 3,0.91,Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,425,574
Transformer with Convolution,5.1 Image Classification,Nível 2,Nível 3,0.91,Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,425,574
Transformer with Convolution,5.1 Image Classification,Nível 1,Nível 3,0.91,Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,425,574
Transformer with Convolution,2.9 Convolutions in Vision Transformers,Nível 4,Nível 3,0.8975,root > Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.9 Convolutions in Vision Transformers,425,710
Transformer with Convolution,2.9 Convolutions in Vision Transformers,Nível 3,Nível 3,0.8975,Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.9 Convolutions in Vision Transformers,425,710
Transformer with Convolution,2.9 Convolutions in Vision Transformers,Nível 2,Nível 3,0.8975,Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.9 Convolutions in Vision Transformers,425,710
Transformer with Convolution,2.9 Convolutions in Vision Transformers,Nível 1,Nível 3,0.8975,Transformer with Convolution,A Survey on Visual Transformers > 2 Architectural Innovations in Visual Transformers > 2.9 Convolutions in Vision Transformers,425,710
Challenges,5.1 Image Classification,Nível 3,Nível 3,0.897,root > Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,396,574
Challenges,5.1 Image Classification,Nível 2,Nível 3,0.897,Conclusions and Discussions > Challenges,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,396,574
Challenges,5.1 Image Classification,Nível 1,Nível 3,0.897,Challenges,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,396,574
Generic Object Detection,5.2 Object Detection,Nível 4,Nível 3,0.895,root > Vision Transformer > High/Mid-level Vision > Generic Object Detection,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,1866,810
Generic Object Detection,5.2 Object Detection,Nível 3,Nível 3,0.895,Vision Transformer > High/Mid-level Vision > Generic Object Detection,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,1866,810
Generic Object Detection,5.2 Object Detection,Nível 2,Nível 3,0.895,High/Mid-level Vision > Generic Object Detection,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,1866,810
Generic Object Detection,5.2 Object Detection,Nível 1,Nível 3,0.895,Generic Object Detection,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,1866,810
Transformer with Convolution,1.2 Key Concepts and Architecture Overview,Nível 4,Nível 3,0.8936,root > Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.2 Key Concepts and Architecture Overview,425,580
Transformer with Convolution,1.2 Key Concepts and Architecture Overview,Nível 3,Nível 3,0.8936,Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.2 Key Concepts and Architecture Overview,425,580
Transformer with Convolution,1.2 Key Concepts and Architecture Overview,Nível 2,Nível 3,0.8936,Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.2 Key Concepts and Architecture Overview,425,580
Transformer with Convolution,1.2 Key Concepts and Architecture Overview,Nível 1,Nível 3,0.8936,Transformer with Convolution,A Survey on Visual Transformers > 1 Introduction to Visual Transformers > 1.2 Key Concepts and Architecture Overview,425,580
Transformer with Convolution,5.2 Object Detection,Nível 4,Nível 3,0.891,root > Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,425,810
Transformer with Convolution,5.2 Object Detection,Nível 3,Nível 3,0.891,Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,425,810
Transformer with Convolution,5.2 Object Detection,Nível 2,Nível 3,0.891,Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,425,810
Transformer with Convolution,5.2 Object Detection,Nível 1,Nível 3,0.891,Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.2 Object Detection,425,810
Future Prospects,5.1 Image Classification,Nível 3,Nível 3,0.888,root > Conclusions and Discussions > Future Prospects,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,2535,574
Future Prospects,5.1 Image Classification,Nível 2,Nível 3,0.888,Conclusions and Discussions > Future Prospects,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,2535,574
Future Prospects,5.1 Image Classification,Nível 1,Nível 3,0.888,Future Prospects,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.1 Image Classification,2535,574
Transformer with Convolution,5.3 Image Segmentation,Nível 4,Nível 3,0.884,root > Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,425,733
Transformer with Convolution,5.3 Image Segmentation,Nível 3,Nível 3,0.884,Vision Transformer > Backbone for Representation Learning > Transformer with Convolution,A Survey on Visual Transformers > 5 Applications and Performance Analysis > 5.3 Image Segmentation,425,733
